WEO Country Code,ISO,Country,Major Currency Areas,Advanced economies,Euro area,Major advanced economies (G7),Other advanced economies (Advanced economies excluding G7 and euro area),European Union,Emerging market and developing economies,Emerging and developing Asia,Emerging and developing Europe,Latin America and the Caribbean,Middle East and Central Asia,Sub-Saharan Africa,Fuel Exporting EM,Nonfuel Primary Products Exporting EM,EM Net External Position,Heavily Indebted Country,Income
512,AFG,Afghanistan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Creditor,TRUE,low
914,ALB,Albania,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Debtor,FALSE,upper-middle
612,DZA,Algeria,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Creditor,FALSE,lower-middle
171,AND,Andorra,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,FALSE,high
614,AGO,Angola,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Debtor,FALSE,lower-middle
311,ATG,Antigua and Barbuda,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Debtor,FALSE,high
213,ARG,Argentina,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Creditor,FALSE,upper-middle
911,ARM,Armenia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Debtor,FALSE,upper-middle
314,ABW,Aruba,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Debtor,FALSE,high
193,AUS,Australia,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,FALSE,high
122,AUT,Austria,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,FALSE,high
912,AZE,Azerbaijan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Creditor,FALSE,upper-middle
313,BHS,The Bahamas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Debtor,FALSE,high
419,BHR,Bahrain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Creditor,FALSE,high
513,BGD,Bangladesh,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Debtor,FALSE,lower-middle
316,BRB,Barbados,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Debtor,FALSE,high
913,BLR,Belarus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Debtor,FALSE,upper-middle
124,BEL,Belgium,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,FALSE,high
339,BLZ,Belize,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Debtor,FALSE,upper-middle
638,BEN,Benin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Debtor,TRUE,lower-middle
514,BTN,Bhutan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Debtor,FALSE,lower-middle
218,BOL,Bolivia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Debtor,TRUE,lower-middle
963,BIH,Bosnia and Herzegovina,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Debtor,FALSE,upper-middle
616,BWA,Botswana,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Creditor,FALSE,upper-middle
223,BRA,Brazil,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Debtor,FALSE,upper-middle
516,BRN,Brunei Darussalam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Creditor,FALSE,high
